ID,OB,No,Niveau-ID,Niveau,Lieu,Type,Lié,Circuit,Commentaire
AD-01,AD,-01,SS,Sous-Sol,Mur Extérieur - E,Acces au Drain Français,,Drain.,Accès au drain pour caméra
AD-02,AD,-02,SS,Sous-Sol,Mur Extérieur - E,Acces au Drain Français,,Drain.,Accès au drain pour caméra
AS-01,AS,-01,RC,Rez-de-chaussé,Salle à Manger,Prises Aspirateur Central,,A-11,Prise Aspirateur
AS-02,AS,-02,RC,Rez-de-chaussé,Garage,Prises Aspirateur Central,,A-11,Prise Aspirateur
AS-03,AS,-03,SS,Sous-Sol,Salle de Séjour,Prises Aspirateur Central,,A-11,Prise Aspirateur
BT-01,BT,-01,RC,Rez-de-chaussé,Garage,Bouton sonnette,SP-08,,Bouton Sonnette
BT-02,BT,-02,RC,Rez-de-chaussé,Mur Extérieur - E,Bouton sonnette,SP-08,,Bouton Sonnette
CA-01,CA,-01,SS,Sous-Sol,Salle de Séjour,Calorifère,TH-02,B-10-11,Calorifère
CA-02,CA,-02,SS,Sous-Sol,Salle de Séjour,Calorifère,TH-02,B-10-11,Calorifère
CA-03,CA,-03,SS,Sous-Sol,Salle de Séjour,Calorifère,TH-03,B-10-11,Calorifère
CA-04,CA,-04,SS,Sous-Sol,Bureau,Calorifère,TH-04,A-20-21,Calorifère
DR-01,DR,-01,SS,Sous-Sol,Salle de Lavage,Drain Margelle,,Drain.,Drain
DR-02,DR,-02,SS,Sous-Sol,Mur Extérieur - O,Drain Margelle,,Drain.,Drain de margelle
DR-03,DR,-03,SS,Sous-Sol,Mur Extérieur - O,Drain Margelle,,Drain.,Drain de margelle
DR-04,DR,-04,SS,Sous-Sol,Mur Extérieur - O,Drain Margelle,,Drain.,Drain de margelle
DR-05,DR,-05,SS,Sous-Sol,Mur Extérieur - O,Drain Margelle,,Drain.,Drain de margelle
DR-06,DR,-06,SS,Sous-Sol,Mur Extérieur - O,Drain Margelle,,Drain.,Drain de margelle
IT-01,IT,-01,RC,Rez-de-chaussé,Salle à Manger,Interrupteur,PL-01,A-07,
IT-02,IT,-02,RC,Rez-de-chaussé,Corridor,Interrupteur,PL-08,A-04,Lumière Corridor
IT-03,IT,-03,RC,Rez-de-chaussé,Salon,Interrupteur,PL-02,A-18,
IT-04,IT,-04,RC,Rez-de-chaussé,Salon,Interrupteur,PC-06,A-18,
IT-05,IT,-05,RC,Rez-de-chaussé,Cuisine,Interrupteur,SP-04,A-12,Broyeur à déchets
IT-06,IT,-06,RC,Rez-de-chaussé,Cuisine,Interrupteur,PL-03,A-07,
IT-07,IT,-07,RC,Rez-de-chaussé,Cuisine,Interrupteur,PL-05,A-07,
IT-08,IT,-08,RC,Rez-de-chaussé,Cuisine,Interrupteur,PL-04,A-07,
IT-09,IT,-09,RC,Rez-de-chaussé,Cuisine,Interrupteur,"PL-06,07 & IT-11",A-07,Lumière Garage / Entre Toit
IT-10,IT,-10,RC,Rez-de-chaussé,Salle de Bain RC,Interrupteur,PL-10,A-04,
IT-11,IT,-11,ET,Entrtoit,Entre-Toit,Interrupteur,PL-09 & IT-09,A-07,IT-11 est alimenté par IT-09 (Cuisine)
IT-12,IT,-12,RC,Rez-de-chaussé,Chambre - NO,Interrupteur,LM-02,A-04,Lumière Garde robe
IT-13,IT,-13,RC,Rez-de-chaussé,Chambre - NO,Interrupteur,PL-11,A-04,
IT-14,IT,-14,RC,Rez-de-chaussé,Chambre - NE,Interrupteur,PL-13,A-04,
IT-15,IT,-15,RC,Rez-de-chaussé,Chambre - E,Interrupteur,PL-14,A-04,
IT-16,IT,-16,RC,Rez-de-chaussé,Salle à Manger,Interrupteur,PL-15,A-11,Interrupteur Automatique Garde Manger
IT-17,IT,-17,RC,Rez-de-chaussé,Salon,Interrupteur,LM-01,A-18,Lumière Porte Avant
IT-18,IT,-18,CB,Cabanon,Cabanon,Interrupteur,"LM-03,PL-12",A-04,
IT-19,IT,-19,RC,Rez-de-chaussé,Mur Extérieur - O,Interrupteur,LM-04,A-01,Interrupteur dans l'armoire
IT-20,IT,-20,RC,Rez-de-chaussé,Salon,Interrupteur,"PL-30,31,32,33",A-15,Interrupteur/Timer Lumière Extérieurs Avant
IT-21,IT,-21,RC,Rez-de-chaussé,Escalier,Interrupteur,"PL-16,17",A-09,
IT-22,IT,-22,SS,Sous-Sol,Salle de Séjour,Interrupteur,"PL-19,20",A-05,
IT-23,IT,-23,SS,Sous-Sol,Salle de Séjour,Interrupteur,"PL-21,22",A-17,
IT-24,IT,-24,SS,Sous-Sol,Salle de Séjour,Interrupteur,PL-23,A-17,
IT-25,IT,-25,SS,Sous-Sol,Salle de Séjour,Interrupteur,PL-18,A-17,
IT-26,IT,-26,SS,Sous-Sol,Bureau,Interrupteur,"PL-24,25",A-15,
IT-27,IT,-27,SS,Sous-Sol,Salle de Lavage,Interrupteur,PL-27,A-09,
IT-28,IT,-28,SS,Sous-Sol,Salle de Lavage,Interrupteur,PL-26,A-10,
IT-29,IT,-29,SS,Sous-Sol,Salle chauffe eau,Interrupteur,LM-05,A-10,
IT-30,IT,-30,SS,Sous-Sol,Salle de Bain SS,Interrupteur,PL-28,A-16,
IT-31,IT,-31,SS,Sous-Sol,Salle de Bain SS,Interrupteur,PL-29,A-09,Timer
LM-01,LM,-01,RC,Rez-de-chaussé,Mur Extérieur - E,Lumière Murale,IT-17,A-18,Lumière de porte d'entré
LM-02,LM,-02,RC,Rez-de-chaussé,Chambre - NO,Lumière Murale,IT-12,A-04,Lumière Garde robe
LM-03,LM,-03,CB,Cabanon,Cabanon,Lumière Murale,IT-18,A-04,
LM-04,LM,-04,RC,Rez-de-chaussé,Mur Extérieur - O,Lumière Murale,IT-19,A-01,Spot Extérieur éclairant la cour
LM-05,LM,-05,SS,Sous-Sol,Salle chauffe eau,Lumière Murale,IT-29,A-10,
LM-07,LM,-07,SS,Sous-Sol,Escalier,Lumière Murale,,A-10,Lumière Carreau à Chaussure
NE-01,NE,-01,RC,Rez-de-chaussé,Cuisine,Network - Télécom,,Comm.,Prise téléphone
NE-02,NE,-02,SS,Sous-Sol,Salle de Séjour,Network - Télécom,,Comm.,Prise Télé câble
NE-03,NE,-03,SS,Sous-Sol,Salle de Séjour,Network - Télécom,,Comm.,Prise Télé câble
NE-04,NE,-04,SS,Sous-Sol,Salle de Lavage,Network - Télécom,,Comm.,Prise Téléphone
PC-01,PC,-01,RC,Rez-de-chaussé,Salle à Manger,Prise de courant,,A-07,
PC-02,PC,-02,RC,Rez-de-chaussé,Salle à Manger,Prise de courant,,A-11,
PC-03,PC,-03,RC,Rez-de-chaussé,Salon,Prise de courant,,A-18,
PC-04,PC,-04,RC,Rez-de-chaussé,Salon,Prise de courant,,A-18,
PC-05,PC,-05,RC,Rez-de-chaussé,Salon,Prise de courant,,A-18,
PC-06,PC,-06,RC,Rez-de-chaussé,Salon,Prise de courant,IT-04,A-18,
PC-08,PC,-08,RC,Rez-de-chaussé,Cuisine,Prise de courant,,A-02,
PC-09,PC,-09,RC,Rez-de-chaussé,Cuisine,Prise de courant,,A-14,"Grille Pain, Cafetière"
PC-10,PC,-10,RC,Rez-de-chaussé,Cuisine,Prise de courant,,A-03,Frigo
PC-11,PC,-11,RC,Rez-de-chaussé,Corridor,Prise de courant,,A-04,
PC-12,PC,-12,RC,Rez-de-chaussé,Garage,Prise de courant,,A-01,
PC-13,PC,-13,RC,Rez-de-chaussé,Salle de Bain RC,Prise de courant,,A-07,
PC-14,PC,-14,RC,Rez-de-chaussé,Salle de Bain RC,Prise de courant,,A-04,Rasoir
PC-15,PC,-15,RC,Rez-de-chaussé,Chambre - NO,Prise de courant,,A-04,
PC-16,PC,-16,RC,Rez-de-chaussé,Chambre - NO,Prise de courant,,A-04,
PC-19,PC,-19,RC,Rez-de-chaussé,Chambre - NE,Prise de courant,,A-04,
PC-21,PC,-21,RC,Rez-de-chaussé,Chambre - NE,Prise de courant,,A-04,
PC-23,PC,-23,RC,Rez-de-chaussé,Chambre - E,Prise de courant,,A-04,
PC-24,PC,-24,RC,Rez-de-chaussé,Chambre - E,Prise de courant,,A-18,
PC-25,PC,-25,CB,Cabanon,Cabanon,Prise de courant,IT-18,A-04,
PC-26,PC,-26,RC,Rez-de-chaussé,Garage,Prise de courant,,A-01,
PC-27,PC,-27,RC,Rez-de-chaussé,Salon,Prise de courant,Sp-10,A-15,Échangeur d'air/ Garde Robe Salon
PC-28,PC,-28,SS,Sous-Sol,Salle de Séjour,Prise de courant,,A-09,
PC-29,PC,-29,SS,Sous-Sol,Salle de Séjour,Prise de courant,,A-17,
PC-30,PC,-30,SS,Sous-Sol,Salle de Séjour,Prise de courant,,A-05,
PC-31,PC,-31,SS,Sous-Sol,Salle de Séjour,Prise de courant,,A-05,
PC-32,PC,-32,SS,Sous-Sol,Salle de Séjour,Prise de courant,,A-04,TV 
PC-33,PC,-33,SS,Sous-Sol,Salle de Séjour,Prise de courant,,A-04,DVD
PC-34,PC,-34,SS,Sous-Sol,Salle de Séjour,Prise de courant,,A-19,
PC-36,PC,-36,SS,Sous-Sol,Salle de Séjour,Prise de courant,,A-19,
PC-37,PC,-37,SS,Sous-Sol,Bureau,Prise de courant,,A-15,
PC-38,PC,-38,SS,Sous-Sol,Bureau,Prise de courant,,A-15,
PC-39,PC,-39,SS,Sous-Sol,Bureau,Prise de courant,,A-15,
PC-40,PC,-40,SS,Sous-Sol,Bureau,Prise de courant,,A-15,
PC-41,PC,-41,SS,Sous-Sol,Bureau,Prise de courant,,A-15,
PC-42,PC,-42,SS,Sous-Sol,Bureau,Prise de courant,,A-15,
PC-43,PC,-43,SS,Sous-Sol,Salle de Lavage,Prise de courant,SP-13,A-18,Laveuse
PC-44,PC,-44,SS,Sous-Sol,Salle de Lavage,Prise de courant,,A-10,Congélateur
PC-45,PC,-45,SS,Sous-Sol,Salle de Lavage,Prise de courant,,A-10,Routeur / Modem
PC-46,PC,-46,SS,Sous-Sol,Salle de Bain SS,Prise de courant,,A-16,Rasoir
PC-47,PC,-47,SS,Sous-Sol,Salle de Lavage,Prise de courant,,B-12-13,"Sécheuse, 240v"
PC-48,PC,-48,RC,Rez-de-chaussé,Mur Extérieur - O,Prise de courant,,A-01,
PC-49,PC,-49,RC,Rez-de-chaussé,Salon,Prise de courant,,A-18,
PC-50,PC,-50,SS,Sous-Sol,Salle chauffe eau,Prise de courant,SP-15,A-11,PC Aspirateur central
PL-01,PL,-01,RC,Rez-de-chaussé,Salle à Manger,Plafonnier,IT-01,A-07,
PL-02,PL,-02,RC,Rez-de-chaussé,Salon,Plafonnier,IT-03,A-18,
PL-03,PL,-03,RC,Rez-de-chaussé,Cuisine,Plafonnier,IT-06,A-07,
PL-04,PL,-04,RC,Rez-de-chaussé,Cuisine,Plafonnier,IT-08,A-07,
PL-05,PL,-05,RC,Rez-de-chaussé,Cuisine,Plafonnier,IT-07,A-07,
PL-06,PL,-06,RC,Rez-de-chaussé,Garage,Plafonnier,IT-09,A-07,
PL-07,PL,-07,RC,Rez-de-chaussé,Garage,Plafonnier,IT-09,A-07,
PL-08,PL,-08,RC,Rez-de-chaussé,Corridor,Plafonnier,,A-04,
PL-09,PL,-09,ET,Entrtoit,Entre-Toit,Plafonnier,IT-10,A-07,
PL-10,PL,-10,RC,Rez-de-chaussé,Salle de Bain RC,Plafonnier,IT-10,A-04,
PL-11,PL,-11,RC,Rez-de-chaussé,Chambre - NO,Plafonnier,IT-13,A-04,
PL-12,PL,-12,CB,Cabanon,Cabanon,Plafonnier,IT-18,A-04,
PL-13,PL,-13,RC,Rez-de-chaussé,Chambre - NE,Plafonnier,IT-13,A-04,
PL-14,PL,-14,RC,Rez-de-chaussé,Chambre - E,Plafonnier,IT-15,A-04,
PL-15,PL,-15,RC,Rez-de-chaussé,Salle à Manger,Plafonnier,IT-16,A-11,Lumière Garde Manger
PL-16,PL,-16,RC,Rez-de-chaussé,Escalier,Plafonnier,IT-21,A-09,
PL-17,PL,-17,SS,Sous-Sol,Escalier,Plafonnier,IT-21,A-09,
PL-18,PL,-18,SS,Sous-Sol,Salle de Séjour,Plafonnier,IT-25,A-17,
PL-19,PL,-19,SS,Sous-Sol,Salle de Séjour,Plafonnier,IT-22,A-05,
PL-20,PL,-20,SS,Sous-Sol,Salle de Séjour,Plafonnier,IT-22,A-05,
PL-21,PL,-21,SS,Sous-Sol,Salle de Séjour,Plafonnier,IT-23,A-17,
PL-22,PL,-22,SS,Sous-Sol,Salle de Séjour,Plafonnier,IT-23,A-17,
PL-23,PL,-23,SS,Sous-Sol,Salle de Séjour,Plafonnier,IT-24,A-17,
PL-24,PL,-24,SS,Sous-Sol,Bureau,Plafonnier,IT-26,A-15,
PL-25,PL,-25,SS,Sous-Sol,Bureau,Plafonnier,IT-26,A-15,
PL-26,PL,-26,SS,Sous-Sol,Salle de Lavage,Plafonnier,IT-28,A-10,
